127|60|208
128|60|207
129|60|209
130|60|206
134|9|200
135|8|194
136|13|101
137|13|205
138|70|124
139|71|122
140|71|121
141|8|197
17|1|163
18|1|78
19|1|162
20|1|167
142|29|212
22|8|203
23|8|196
24|8|190
25|8|189
26|9|198
27|9|199
143|29|211
29|14|127
30|14|106
31|14|129
32|14|105
33|14|126
34|15|102
35|15|104
36|15|192
37|15|276
38|16|193
39|16|108
40|16|107
41|16|128
42|17|131
43|17|109
44|17|130
45|17|277
46|200|133
47|200|132
48|200|136
50|26|279
51|26|278
55|28|283
56|28|284
144|29|166
145|29|269
146|80|114
52|25|280
53|25|281
54|25|282
57|4|172
58|4|173
59|6|174
60|6|175
61|6|177
62|6|178
63|18|19
64|18|16
65|18|14
147|80|110
67|19|71
68|19|138
69|20|15
148|80|112
71|20|17
72|20|69
74|21|13
75|21|67
76|2|3
77|2|2
78|2|4
79|3|1
80|3|7
81|3|6
82|3|5
83|2|22
84|44|21
85|44|57
86|55|23
87|55|11
88|55|24
89|55|9
90|18|56
91|56|55
92|56|54
93|56|77
94|57|60
95|57|62
96|57|61
97|57|59
98|58|63
99|58|141
100|21|285
101|21|286
102|21|18
103|20|287
150|80|115
105|30|43
106|30|45
107|30|50
108|31|48
109|31|47
110|31|41
111|32|26
112|32|29
113|32|28
114|32|272
115|2|289
116|11|93
117|11|96
118|11|95
119|11|94
151|81|118
121|12|97
122|12|99
123|12|98
124|12|204
125|12|100
152|81|120
153|81|275
154|80|111
155|82|117
156|82|82
157|82|81
158|83|90
159|83|92
160|83|89
161|83|87
162|83|91
163|83|88
164|84|180
165|84|182
166|84|183
167|85|186
168|85|185
169|85|184
170|85|181
171|85|187
172|85|188
173|86|169
174|86|171
175|86|170
176|34|74
177|34|52
178|34|72
179|34|73
181|34|51
183|33|36
185|33|25
186|33|35
